student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score,Total Screen Time Check
22.00,19.00,Male,Undergraduate,4.50,2.20,2.14,1.24,0.00,4.42,10.82,134.00,179.00,1.00,0.00,Poor,2.00,19.46,62.09,20.88,1.00,3.38
23.00,18.00,Female,Postgraduate,4.79,1.45,1.71,1.96,1.78,7.41,7.04,87.00,203.00,0.00,0.00,Good,10.00,42.45,28.98,62.96,33.52,5.45
24.00,20.00,Male,High School,3.59,2.32,0.06,5.10,1.05,6.21,4.39,11.00,8.00,0.00,1.00,Poor,4.00,32.36,42.51,21.40,11.21,6.21
25.00,23.00,Male,Postgraduate,7.44,2.36,1.64,2.77,1.39,6.84,2.92,22.00,293.00,0.00,1.00,Good,6.00,39.78,43.72,61.00,33.03,5.80
26.00,18.00,Female,High School,5.77,2.02,1.10,3.90,1.54,6.98,8.58,57.00,160.00,1.00,0.00,Good,4.00,21.89,33.80,42.44,16.33,6.54
27.00,20.00,Female,Postgraduate,4.64,2.85,1.53,2.19,2.27,5.90,3.66,33.00,151.00,0.00,0.00,Average,8.00,32.09,30.49,55.72,30.57,5.99
28.00,24.00,Male,Undergraduate,7.30,2.05,3.02,5.01,0.16,7.51,10.48,51.00,182.00,0.00,0.00,Average,1.00,25.67,29.00,42.33,18.07,8.19
29.00,16.00,Female,Postgraduate,3.59,4.07,2.85,2.57,2.47,7.70,5.91,101.00,214.00,0.00,1.00,Good,5.00,23.79,33.22,34.11,14.70,7.89
30.00,23.00,Female,High School,3.54,2.39,2.67,5.24,1.22,5.91,4.89,38.00,325.00,1.00,0.00,Good,6.00,16.61,40.95,29.44,10.73,9.13
31.00,25.00,Male,High School,3.95,2.45,2.53,3.97,0.72,5.90,6.69,139.00,4.00,0.00,1.00,Average,9.00,31.41,52.40,52.70,23.19,7.22
32.00,19.00,Male,Postgraduate,5.52,2.41,0.00,3.91,0.26,8.16,11.43,95.00,306.00,1.00,1.00,Good,6.00,22.79,69.00,37.09,10.49,4.17
33.00,20.00,Male,Postgraduate,4.68,2.18,2.65,2.85,0.54,6.49,6.03,12.00,235.00,1.00,0.00,Poor,1.00,25.48,44.61,19.89,11.53,6.04
34.00,22.00,Male,Postgraduate,0.00,1.22,2.26,7.11,2.18,8.33,8.44,118.00,327.00,0.00,0.00,Average,6.00,7.26,20.37,3.39,1.00,11.55
35.00,17.00,Other,Undergraduate,3.29,3.88,1.99,5.21,0.00,10.00,9.47,22.00,262.00,0.00,1.00,Poor,9.00,30.52,40.36,48.19,24.30,7.20
36.00,21.00,Male,High School,2.60,2.99,2.43,2.71,2.53,4.70,3.65,113.00,85.00,1.00,0.00,Poor,8.00,24.24,38.06,37.50,22.18,7.67
37.00,22.00,Other,Undergraduate,4.14,1.13,2.70,1.80,2.53,6.08,10.81,81.00,184.00,0.00,0.00,Poor,5.00,24.77,48.89,29.46,11.46,7.03
38.00,18.00,Female,Undergraduate,5.94,0.47,3.15,2.45,2.62,6.74,6.18,119.00,395.00,1.00,1.00,Average,10.00,36.67,67.15,54.70,29.22,8.22
39.00,17.00,Other,Undergraduate,3.29,3.92,1.06,3.61,0.46,7.31,3.56,106.00,326.00,0.00,1.00,Average,10.00,42.07,45.48,50.25,31.39,5.13
40.00,24.00,Other,Postgraduate,3.58,4.91,2.06,4.25,0.00,6.92,6.73,67.00,25.00,1.00,1.00,Average,8.00,25.83,51.44,35.68,23.11,6.31
41.00,19.00,Other,Postgraduate,4.06,3.41,2.46,1.90,0.79,6.52,4.91,127.00,179.00,0.00,0.00,Average,8.00,45.88,27.33,45.83,39.80,5.15
42.00,21.00,Other,Postgraduate,0.53,2.89,1.89,1.52,3.52,7.47,8.45,2.00,346.00,1.00,1.00,Poor,4.00,12.74,52.20,1.00,1.00,6.93
43.00,16.00,Other,High School,2.12,0.61,2.16,1.95,1.66,6.57,5.02,131.00,114.00,0.00,0.00,Poor,3.00,14.39,22.39,25.29,18.54,5.77
44.00,18.00,Male,High School,2.59,2.33,2.86,2.13,1.55,7.18,8.42,33.00,168.00,0.00,1.00,Good,2.00,25.78,46.05,21.13,15.42,6.54
45.00,22.00,Male,High School,7.29,3.51,1.56,6.04,0.00,7.53,9.71,108.00,69.00,0.00,0.00,Average,3.00,28.74,30.20,49.56,14.43,7.60
46.00,18.00,Female,High School,7.24,2.22,1.60,3.70,2.39,5.93,6.58,139.00,50.00,1.00,0.00,Good,5.00,31.01,37.70,46.71,21.93,7.69
47.00,20.00,Female,Undergraduate,5.66,2.71,2.42,2.45,3.89,7.74,6.54,128.00,48.00,1.00,1.00,Average,3.00,27.49,43.10,29.45,7.95,8.76
48.00,20.00,Male,High School,4.73,0.71,2.80,4.93,2.10,6.68,5.94,141.00,166.00,0.00,1.00,Average,2.00,6.54,41.12,15.82,3.28,9.83
49.00,22.00,Other,High School,4.14,2.22,1.53,3.58,0.00,7.56,6.66,124.00,381.00,0.00,1.00,Good,3.00,22.55,49.82,23.31,16.47,5.11
50.00,19.00,Female,Undergraduate,6.14,2.62,2.25,2.36,0.00,7.07,6.60,68.00,14.00,1.00,0.00,Good,6.00,40.88,40.04,62.99,38.31,4.61
51.00,16.00,Other,Postgraduate,2.29,3.85,2.97,4.00,1.10,6.12,7.09,118.00,309.00,0.00,1.00,Average,6.00,26.45,48.16,13.75,4.33,8.07
52.00,22.00,Other,Undergraduate,6.80,1.40,4.26,5.88,0.00,6.73,7.25,131.00,247.00,1.00,0.00,Poor,2.00,23.45,30.69,45.10,26.65,10.14
53.00,20.00,Female,Undergraduate,2.86,3.10,1.29,1.94,1.53,6.36,6.79,67.00,93.00,1.00,1.00,Poor,4.00,28.87,64.48,18.61,15.41,4.76
54.00,23.00,Female,High School,4.56,0.00,2.18,6.37,2.51,5.95,11.87,105.00,173.00,1.00,0.00,Average,9.00,20.70,55.93,40.61,15.60,11.06
55.00,22.00,Female,Postgraduate,6.94,0.34,0.26,3.01,1.33,5.29,6.28,130.00,207.00,0.00,0.00,Average,3.00,29.18,37.44,42.93,26.02,4.60
56.00,23.00,Other,Undergraduate,2.10,1.94,1.29,0.00,0.58,5.78,7.18,105.00,273.00,0.00,1.00,Average,4.00,31.60,66.00,15.84,5.76,1.87
57.00,17.00,Other,Undergraduate,1.97,4.43,2.65,0.00,1.30,5.26,10.49,75.00,327.00,1.00,0.00,Poor,9.00,35.02,67.82,32.16,1.00,3.95
58.00,21.00,Male,High School,4.08,2.64,2.08,3.37,2.55,6.79,5.77,134.00,405.00,1.00,1.00,Good,10.00,42.23,61.42,48.76,23.74,8.00
59.00,23.00,Female,Undergraduate,4.65,1.76,1.15,3.25,2.39,6.29,6.10,113.00,63.00,1.00,1.00,Average,1.00,13.62,47.62,23.81,10.13,6.79
60.00,25.00,Male,Postgraduate,3.53,3.33,1.42,3.15,1.38,7.07,5.49,5.00,278.00,0.00,1.00,Good,9.00,39.46,49.23,39.34,22.49,5.95
61.00,18.00,Other,Undergraduate,6.63,1.37,2.28,3.55,1.63,7.76,3.80,128.00,337.00,0.00,1.00,Average,2.00,32.90,32.52,42.01,26.34,7.46
62.00,20.00,Male,Postgraduate,6.13,3.57,2.05,2.71,2.68,7.33,2.41,110.00,23.00,1.00,0.00,Good,2.00,22.34,35.07,28.39,8.36,7.44
63.00,24.00,Other,Postgraduate,4.56,2.66,2.92,0.58,2.82,8.19,5.70,43.00,473.00,0.00,0.00,Average,9.00,45.86,27.85,65.02,40.11,6.32
64.00,17.00,Male,Undergraduate,4.05,4.60,2.52,0.03,2.32,6.88,3.77,47.00,299.00,1.00,0.00,Average,2.00,29.45,38.16,20.45,10.05,4.87
65.00,18.00,Male,High School,3.05,2.15,4.48,2.49,1.15,6.25,4.76,26.00,171.00,1.00,0.00,Good,1.00,13.54,43.27,17.14,1.00,8.12
66.00,17.00,Female,Postgraduate,6.31,0.38,2.95,2.87,0.31,7.54,6.94,57.00,119.00,1.00,0.00,Good,8.00,34.49,22.37,56.05,25.53,6.13
67.00,17.00,Male,High School,6.32,3.38,2.51,3.11,1.09,5.08,2.32,117.00,93.00,1.00,1.00,Poor,6.00,42.24,66.50,46.57,18.01,6.71
68.00,19.00,Male,Undergraduate,4.50,2.66,2.37,1.01,1.09,9.18,6.38,76.00,302.00,1.00,0.00,Poor,1.00,29.04,27.50,35.08,23.12,4.47
69.00,21.00,Female,High School,4.90,1.56,3.26,3.08,1.54,7.48,6.29,17.00,441.00,0.00,0.00,Poor,3.00,29.04,38.91,27.83,15.16,7.88
70.00,25.00,Female,High School,2.27,2.75,0.00,1.24,2.81,6.92,3.68,97.00,244.00,1.00,1.00,Poor,7.00,31.70,61.19,20.69,12.34,4.05
71.00,16.00,Other,Undergraduate,8.65,1.34,2.33,1.51,1.43,8.63,5.45,41.00,270.00,0.00,0.00,Poor,6.00,43.23,21.17,75.28,48.56,5.27
72.00,24.00,Male,Postgraduate,5.69,4.16,0.87,2.69,1.24,6.32,5.94,40.00,84.00,1.00,0.00,Average,4.00,25.43,36.80,42.64,18.21,4.80
73.00,17.00,Female,Undergraduate,7.55,3.95,3.31,2.03,3.44,7.40,7.56,148.00,414.00,1.00,1.00,Good,1.00,30.78,63.65,44.46,21.95,8.78
74.00,22.00,Male,High School,5.53,3.05,4.04,0.55,2.05,7.29,6.32,70.00,89.00,1.00,1.00,Poor,1.00,33.88,52.24,29.89,18.02,6.64
75.00,19.00,Other,High School,0.50,1.05,0.68,3.82,1.70,10.00,1.00,132.00,313.00,0.00,0.00,Good,6.00,11.17,10.42,25.38,14.50,6.20
76.00,19.00,Male,High School,5.21,0.00,1.85,1.02,0.82,7.66,3.17,2.00,93.00,0.00,1.00,Good,4.00,21.89,37.07,31.25,16.13,3.69
77.00,21.00,Male,Postgraduate,6.81,1.20,1.34,2.40,1.00,4.95,7.73,24.00,470.00,0.00,0.00,Poor,9.00,50.33,45.28,70.97,44.71,4.74
78.00,25.00,Other,Postgraduate,2.78,2.04,1.49,3.87,0.68,9.29,10.91,87.00,456.00,0.00,0.00,Average,8.00,32.16,25.43,31.24,20.50,6.04
79.00,23.00,Other,Postgraduate,3.76,0.78,0.79,4.21,0.00,6.99,7.71,85.00,453.00,1.00,0.00,Average,1.00,16.38,47.36,23.07,1.07,5.00
80.00,25.00,Male,Postgraduate,4.22,3.31,1.52,1.43,0.00,7.43,8.74,41.00,187.00,1.00,0.00,Average,8.00,54.44,51.65,49.80,34.05,2.95
81.00,18.00,Other,Undergraduate,5.69,2.27,0.00,2.93,3.94,7.11,11.02,28.00,200.00,0.00,0.00,Average,5.00,21.93,37.07,37.68,18.66,6.87
82.00,19.00,Other,Undergraduate,3.40,3.27,1.30,4.21,1.96,8.95,9.85,134.00,163.00,1.00,0.00,Poor,1.00,7.28,34.14,8.31,1.00,7.47
83.00,19.00,Other,Undergraduate,1.34,3.68,0.92,2.28,0.65,6.43,4.78,48.00,153.00,0.00,0.00,Average,2.00,22.99,23.83,12.52,5.59,3.85
84.00,19.00,Other,Postgraduate,4.64,0.24,1.93,3.60,0.00,7.20,6.08,91.00,165.00,1.00,1.00,Poor,4.00,26.51,48.95,32.69,13.61,5.53
85.00,24.00,Other,High School,1.24,4.08,1.28,1.91,2.06,9.74,3.47,56.00,110.00,1.00,1.00,Poor,8.00,39.96,38.65,28.36,24.91,5.25
86.00,22.00,Other,High School,6.32,2.73,0.00,1.86,0.56,5.56,5.44,35.00,419.00,1.00,1.00,Good,4.00,29.22,67.75,39.64,15.82,2.42
87.00,25.00,Female,Postgraduate,4.18,3.72,0.74,0.41,2.47,7.71,8.94,115.00,178.00,0.00,0.00,Good,2.00,22.56,30.24,33.13,7.94,3.62
88.00,23.00,Other,Postgraduate,6.14,4.16,1.49,3.04,0.00,7.93,6.71,63.00,299.00,1.00,0.00,Average,4.00,39.69,35.67,40.46,26.92,4.53
89.00,22.00,Female,Postgraduate,3.28,4.08,1.62,1.31,0.51,5.65,6.91,2.00,320.00,1.00,0.00,Good,1.00,20.83,49.26,19.22,7.68,3.44
90.00,19.00,Other,Undergraduate,8.29,4.72,2.40,1.98,2.25,6.80,9.42,44.00,52.00,1.00,1.00,Good,2.00,25.75,62.19,33.98,15.98,6.63
91.00,25.00,Female,Postgraduate,0.02,2.11,2.93,4.46,3.69,6.67,9.27,79.00,366.00,0.00,0.00,Average,2.00,10.16,40.66,1.00,1.00,11.08
92.00,22.00,Male,Undergraduate,1.48,2.07,0.00,0.00,0.90,7.42,5.48,73.00,299.00,0.00,0.00,Good,7.00,33.95,13.38,41.01,22.94,0.90
93.00,22.00,Other,High School,4.62,2.49,1.59,3.21,0.00,8.96,7.46,128.00,88.00,1.00,0.00,Good,7.00,44.31,31.53,66.46,45.20,4.80
94.00,22.00,Female,High School,4.41,2.24,0.91,3.16,4.36,6.16,7.24,103.00,496.00,0.00,1.00,Poor,9.00,28.75,54.80,49.14,19.24,8.43
95.00,17.00,Male,Undergraduate,5.62,2.31,2.26,2.69,2.20,9.80,13.42,40.00,440.00,1.00,0.00,Average,10.00,39.54,51.03,66.62,32.61,7.15
96.00,19.00,Other,Undergraduate,4.38,2.46,0.21,5.14,2.55,9.81,6.02,67.00,233.00,0.00,0.00,Average,9.00,26.90,14.68,62.47,34.19,7.90
97.00,20.00,Male,High School,6.37,3.86,3.24,2.75,0.00,7.44,8.77,100.00,487.00,1.00,0.00,Poor,3.00,28.83,47.42,31.59,16.97,5.99
98.00,19.00,Male,Postgraduate,6.93,3.54,0.66,5.24,3.17,8.10,3.11,63.00,383.00,1.00,1.00,Average,6.00,43.45,44.77,61.38,34.72,9.07
99.00,17.00,Other,Undergraduate,5.41,4.64,2.98,1.05,3.74,8.13,1.53,109.00,32.00,0.00,1.00,Poor,6.00,40.36,25.33,48.99,36.37,7.77
100.00,16.00,Male,High School,4.50,2.63,1.72,2.99,1.65,8.87,1.00,47.00,149.00,1.00,0.00,Average,1.00,22.38,20.02,30.39,18.43,6.36
101.00,21.00,Male,Undergraduate,6.71,3.71,0.07,4.72,3.62,6.87,4.38,87.00,460.00,0.00,0.00,Average,2.00,27.74,27.59,45.73,27.31,8.41
102.00,24.00,Other,High School,2.89,2.30,2.09,0.08,3.14,7.86,9.66,108.00,98.00,1.00,0.00,Good,1.00,20.22,41.90,9.18,1.00,5.31
103.00,22.00,Male,High School,3.24,2.53,0.35,4.87,0.00,9.46,10.35,55.00,180.00,1.00,1.00,Average,9.00,32.42,48.67,44.41,1.76,5.22
104.00,24.00,Other,High School,2.95,2.01,3.05,0.41,1.70,7.90,7.35,112.00,211.00,1.00,1.00,Good,8.00,36.36,54.28,44.05,16.17,5.16
105.00,25.00,Other,Postgraduate,0.89,0.00,2.72,2.30,0.77,8.75,2.99,94.00,69.00,1.00,1.00,Poor,2.00,10.48,31.90,1.00,1.00,5.79
106.00,17.00,Male,High School,5.79,2.92,2.03,3.57,0.00,5.67,7.89,39.00,394.00,1.00,1.00,Average,6.00,37.14,69.23,46.81,16.70,5.60
107.00,16.00,Other,Undergraduate,1.71,3.83,2.74,3.05,2.77,8.01,1.00,91.00,465.00,1.00,0.00,Average,7.00,25.50,34.61,27.85,16.50,8.56
108.00,19.00,Male,High School,4.45,2.16,1.16,2.00,1.10,7.85,5.85,58.00,417.00,1.00,0.00,Poor,7.00,38.52,42.49,40.98,20.99,4.26
109.00,17.00,Other,High School,2.48,3.52,0.83,5.10,1.16,7.76,7.98,139.00,287.00,1.00,0.00,Average,2.00,13.63,43.52,19.25,1.00,7.09
110.00,19.00,Other,High School,3.25,1.55,2.07,2.99,1.87,6.52,7.64,8.00,239.00,0.00,1.00,Poor,2.00,17.92,60.50,3.81,1.00,6.93
111.00,20.00,Female,High School,4.91,2.66,1.77,3.42,2.76,4.99,7.82,37.00,445.00,1.00,1.00,Good,3.00,6.80,71.79,24.27,1.00,7.95
112.00,23.00,Other,Postgraduate,2.50,1.25,2.14,1.05,0.13,8.12,1.68,89.00,50.00,0.00,0.00,Good,1.00,25.21,15.74,22.28,20.45,3.32
113.00,22.00,Male,High School,4.99,5.08,3.39,3.65,2.34,6.60,8.17,56.00,337.00,1.00,1.00,Average,5.00,30.26,68.72,34.82,12.47,9.38
114.00,17.00,Other,Undergraduate,3.66,2.17,1.79,3.78,1.98,7.92,11.08,124.00,234.00,0.00,1.00,Good,9.00,41.73,41.69,49.48,24.97,7.55
115.00,20.00,Other,Undergraduate,4.79,3.49,3.27,2.70,2.88,10.00,8.43,57.00,110.00,1.00,0.00,Poor,1.00,24.15,29.76,31.82,13.77,8.85
116.00,19.00,Female,Undergraduate,5.09,4.23,1.93,0.05,2.70,5.53,6.60,12.00,93.00,0.00,0.00,Good,2.00,27.87,35.31,29.84,11.69,4.68
117.00,19.00,Female,High School,2.42,2.84,0.66,1.52,0.46,8.20,7.19,38.00,471.00,1.00,1.00,Poor,7.00,33.78,64.61,24.11,12.37,2.64
118.00,23.00,Other,Postgraduate,3.70,2.47,1.83,1.01,2.06,7.83,5.83,26.00,351.00,1.00,0.00,Poor,10.00,40.11,37.25,56.41,41.83,4.90
119.00,22.00,Female,Postgraduate,5.05,0.98,1.07,3.12,1.33,9.33,6.38,16.00,80.00,1.00,1.00,Poor,10.00,30.92,32.50,56.08,34.13,5.52
120.00,24.00,Female,Postgraduate,5.42,3.55,2.49,2.66,2.85,6.13,6.54,67.00,37.00,1.00,1.00,Poor,7.00,36.50,58.64,41.28,23.04,8.00
121.00,22.00,Other,High School,5.65,2.32,2.44,3.49,3.28,7.96,10.24,60.00,271.00,1.00,1.00,Good,8.00,36.80,69.11,39.54,15.16,9.21
122.00,20.00,Male,Postgraduate,3.70,1.66,1.26,3.13,2.86,6.98,11.16,11.00,161.00,1.00,0.00,Average,2.00,18.04,58.76,13.60,3.72,7.25
123.00,20.00,Female,Postgraduate,2.77,2.23,2.40,5.34,1.02,7.47,6.08,18.00,26.00,1.00,1.00,Average,10.00,36.24,44.79,46.62,21.69,8.76
124.00,23.00,Female,Undergraduate,2.62,5.40,1.75,0.66,0.81,7.20,6.32,57.00,74.00,1.00,1.00,Poor,7.00,44.66,51.04,48.11,34.56,3.22
125.00,16.00,Female,High School,7.07,1.62,0.73,2.27,3.97,7.26,8.07,112.00,291.00,0.00,1.00,Good,7.00,36.67,54.24,50.21,29.70,6.97
126.00,16.00,Other,High School,4.34,1.66,3.39,3.16,2.26,5.54,6.05,5.00,355.00,1.00,1.00,Good,9.00,24.86,70.76,39.76,8.35,8.81
127.00,25.00,Female,Postgraduate,3.94,2.90,2.48,5.98,0.00,5.27,4.93,38.00,389.00,1.00,0.00,Poor,7.00,29.88,65.35,40.15,20.40,8.46
128.00,24.00,Male,Undergraduate,3.95,3.25,1.58,3.62,0.31,8.73,6.69,99.00,94.00,0.00,1.00,Average,6.00,35.26,33.95,50.04,23.03,5.51
129.00,24.00,Female,High School,4.98,2.13,1.68,4.96,2.84,5.54,7.54,5.00,295.00,1.00,0.00,Average,3.00,17.89,60.56,16.45,3.53,9.48
130.00,20.00,Female,High School,3.04,3.41,1.29,3.81,1.34,8.58,9.03,76.00,44.00,1.00,0.00,Average,3.00,25.39,35.04,23.13,14.86,6.44
131.00,24.00,Other,High School,8.04,4.67,1.44,4.44,0.89,8.00,3.76,43.00,290.00,1.00,1.00,Average,5.00,48.82,41.00,61.19,34.74,6.77
132.00,22.00,Male,Undergraduate,3.80,1.70,2.65,3.80,1.12,6.80,7.40,145.00,275.00,1.00,1.00,Good,5.00,22.58,53.04,28.95,17.35,7.57
133.00,17.00,Female,Undergraduate,3.91,3.69,1.94,4.06,1.43,6.02,7.31,33.00,483.00,1.00,1.00,Poor,2.00,22.55,65.94,12.98,7.26,7.43
134.00,22.00,Female,Undergraduate,2.92,4.54,3.04,3.91,2.92,6.85,2.73,128.00,358.00,0.00,0.00,Average,7.00,32.57,12.87,42.10,42.34,9.87
135.00,24.00,Other,Postgraduate,7.57,2.30,3.62,1.70,2.92,5.86,7.62,79.00,92.00,0.00,0.00,Good,4.00,31.73,37.70,48.98,24.08,8.24
136.00,23.00,Male,Undergraduate,4.34,1.54,1.71,4.46,0.10,9.25,8.86,130.00,51.00,0.00,1.00,Average,5.00,38.69,26.79,50.82,31.56,6.27
137.00,25.00,Other,Postgraduate,4.58,0.00,2.82,3.28,2.27,6.10,6.48,130.00,188.00,1.00,1.00,Average,1.00,17.48,59.44,15.49,1.00,8.37
138.00,17.00,Other,Postgraduate,5.76,2.82,3.42,4.06,3.00,7.69,7.11,47.00,220.00,1.00,0.00,Poor,4.00,22.68,38.24,43.51,21.08,10.48
139.00,23.00,Female,High School,2.81,1.56,2.17,3.58,1.80,7.91,3.92,121.00,190.00,1.00,1.00,Poor,5.00,20.29,40.53,27.67,25.52,7.55
140.00,17.00,Male,Undergraduate,1.57,1.86,1.60,1.83,1.43,5.74,7.62,32.00,26.00,1.00,1.00,Good,7.00,26.50,71.68,19.01,3.69,4.86
141.00,23.00,Other,Undergraduate,2.58,3.33,3.39,2.33,3.16,5.69,3.25,106.00,136.00,0.00,0.00,Average,10.00,29.18,27.37,41.41,29.57,8.88
142.00,25.00,Other,Undergraduate,4.74,2.14,0.83,2.35,1.49,7.21,6.67,111.00,66.00,0.00,0.00,Average,5.00,30.41,18.57,39.86,22.45,4.67
143.00,24.00,Male,High School,0.00,1.22,3.14,2.16,0.00,6.74,8.31,55.00,411.00,1.00,1.00,Average,10.00,21.65,63.74,23.36,8.04,5.30
144.00,23.00,Other,Postgraduate,6.25,2.59,3.45,3.76,3.11,8.14,7.41,55.00,122.00,0.00,1.00,Poor,5.00,25.99,52.10,43.09,13.23,10.32
145.00,17.00,Male,High School,5.69,2.67,3.15,1.67,0.50,6.39,5.78,133.00,128.00,0.00,0.00,Good,6.00,33.91,27.81,51.29,36.11,5.32
146.00,19.00,Male,Undergraduate,1.92,0.00,3.39,2.13,1.41,6.51,5.95,84.00,220.00,0.00,0.00,Average,10.00,26.34,40.00,34.37,13.99,6.93
147.00,17.00,Other,Postgraduate,4.29,3.53,2.70,4.55,1.17,6.08,7.31,127.00,45.00,0.00,1.00,Good,10.00,32.73,54.94,55.75,19.55,8.42
148.00,24.00,Other,Undergraduate,2.81,3.12,2.65,5.99,1.53,6.02,9.02,66.00,68.00,0.00,1.00,Poor,9.00,25.07,56.01,26.22,18.61,10.17
149.00,23.00,Other,High School,4.08,1.17,3.39,2.43,3.21,7.92,7.76,56.00,346.00,0.00,1.00,Average,10.00,27.91,47.62,40.45,21.84,9.03
150.00,21.00,Other,Undergraduate,6.29,2.82,0.22,0.63,1.01,7.13,7.85,55.00,246.00,0.00,1.00,Average,9.00,48.35,53.20,57.65,32.10,1.86
151.00,17.00,Female,Postgraduate,4.29,0.98,3.35,3.25,1.47,8.57,6.06,130.00,276.00,0.00,1.00,Good,6.00,32.15,41.06,35.66,19.23,8.07
152.00,18.00,Male,High School,3.94,4.32,1.56,2.05,0.65,7.21,5.51,101.00,179.00,1.00,0.00,Average,9.00,40.41,42.56,51.51,32.14,4.26
153.00,21.00,Other,Undergraduate,5.28,3.47,0.57,7.02,1.84,7.65,5.62,148.00,369.00,0.00,1.00,Good,6.00,25.66,25.72,51.44,26.69,9.43
154.00,18.00,Other,Undergraduate,4.70,5.35,1.82,3.16,2.54,8.56,9.80,86.00,262.00,1.00,0.00,Poor,3.00,31.86,36.72,32.40,12.80,7.52
155.00,18.00,Female,High School,3.93,2.87,1.37,4.15,2.19,4.00,7.85,55.00,30.00,0.00,1.00,Good,7.00,21.22,63.22,30.16,12.36,7.71
156.00,25.00,Female,Postgraduate,5.13,1.48,1.75,0.00,0.00,5.64,5.82,35.00,147.00,0.00,1.00,Average,6.00,27.75,56.91,45.63,16.48,1.75
